text,label
@bexlittle @AlisonWright8 @lindyrendy @Cloud2ltd @DotNetSolutions love it thanks for sharing :),positive
@spencerlist Yay another vine I love it. PLEASE can you do more vines?With peyton too :),positive
This kind of feedback truly made our day! A perfect way to end this work week :) http://t.co/B7XBAgmERd,positive
Looks like it's finally time to get rid of the old 2500k :( https://t.co/WvQhzYxJuc,negative
@Aaliyan_ Lucky me :)),positive
@celestiaIstars I actually typed this at 11:11 then my laptop took forever to tweet :((,negative
@sainsburys guys a really unlucky one. The driver and I briefly checked eggs but my other half spotted this : ( http://t.co/WpCqJHhBVk,negative
@SullensScarlett thanks for tweeting about me :),positive
"@lesholly20 Hey Lesley, so sorry they did not get to you, I shall send you some more out in the post tonight :)",positive
But if i ever let you down. forgive me :),positive
Wow! A #VW bus with lots of 'Umpffffff'! Love it! :) https://t.co/hlF75RutDv,positive
@ButtCupboard my feet were cold!!!! and there was no point in taking the socks off okay stop :(,negative
"In two weeks we will be closing for a few days to redecorate.  Expect something a little different, ready for our second Birthday. :)",positive
"@mxszwxrx ""all along it was a fever, "" :(",negative
"Let http://t.co/JknPWfDqkQ help you get your book published. eBook or Print, let us help launch it. Self-publishers :-) let's do it!",positive
@BOYFI_MW aftie :p,positive
My original ticket was £19 :(,negative
Wet holiday Friday :( Console yourself in our cafe with Sophie Grigson's amazing carrot cake! http://t.co/WfzvRXz1Id,negative
@ashtonboyf IMS OSAD :-(,negative
waiting for nudes :-),positive
Spazzing on everything soobin dances :(,negative
"I've whispered to myself ""today is the day"" four times this week and I'm still lying in bed laying Pokemon :))))",positive
KIK me guys : beety697 #kik #kikmeguys #kikme #makeup #sex #video #kikkomansabor :( http://t.co/TpZQefeWXN,negative
@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!,positive
"When a guy buys u a water, but u can't drink it because u didn't watch the cup like a hawk as he transferred it from the bartender to u :(",negative
I hate this day..... :(,negative
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46",positive
@ohkaibaeks I only have 1 though!! :(,negative
@Markisskill didnt have the money at the time :( but would have,negative
WE DIDN'T GET THE 7TH WIN :(,negative
"""ngga usah dipikirin elah"" you can't easily say that to someone who's an entp :) the T is there for a reason",positive
"tessnzach//
cute account :)!!!",positive
@hufflepuffjimin omg thats such a sweet thing to say thank you :-) yeah i used to go to saudi arabia a lot because of my dad,positive
tempted to eat this whole pack of oreos. need to find the strength not to do so. :(,negative
I smile to hide the pain (: :(,negative
@StereoKicks but you won't and that's good :-),positive
"soo I have gotten my phone taken away and I'm currently sneaking on my mums phone, so I'm gonna be inactive for about a week :(",negative
"#Haaretz #Israel :-( Syria continues to develop chemical weapons, officials tell WSJ: WSJ rep... http://t.co/3c5PRCHKqw #UniteBlue #Tcot",negative
"@vijaysrivatsan yeah, that's why 'last time'. They were planning to file police complaint. So much yelling. Can we switch places? :(",negative
"Oh no Mr I Pigs not turning on :( although there's a weird crackling noise when I plug him in coming from the plug ,I'm thinking fuse?",negative
@KalinWhite come to my house :))))),positive
MY kik : senight468 #kik #kikmeboys #gay #teens #amateur #travel #hotscratch :( http://t.co/1KmYuz66RN,negative
"@TheVampsCon im thankful to have someone like you in my life to inspire me to be better everyday. i love you, mind following me? :)",positive
@izzkamilhalda lols. :D,positive
@Itsjustizue see you tomorrow then :)))),positive
@Ironlings_  Sorry Mr 25 :(,negative
We are thrilled to be on our first international assignment as aerial camera operators....Wales here we come #Boom : ) Never forget to smile,positive
@ImJustKindle I'll just be sitting over here with an android phone like :),positive
@twentyonepilots @fujirock_jp tylers hipster glasses :D,positive
@fvvxkk that's a damn lie :(,negative
@Wilpy1 Too late. :(,negative
@queenvause what's wrong?? :(,negative
@alIthingsluke haha just indirecting my best friend on here :)),positive
@Galatasaray @Podolski10 is ready :) #Poldi #Cimbom,positive
are you mad at me ? what did i do wrong ? :( what should i do to make you forgive me :(((,negative
"@EllieWalker_1 well can I just say I deleted my Twitter app 3 weeks ago so I literally just downloaded it, sorry!:(",negative
Sucky Saturday!! :(,negative
@concertina226 Haha that's great :),positive
@prettyden15  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positive
Have to be up in 4 hours :)))))),positive
@SweetieBiebs baby &gt; boyfriend &gt; bitch??? I don't know how to complete it :(,negative
"@Natasha_Thahane I like the way you said it Gal #LeloMustFall, you are so beautifull by the way :)",positive
I can't do it anymore. I can't have stress on my body yet my life is based upon stress I just can't do it :(,negative
@MbalulaFikile @UKenyatta Reign of errors example inflation rate sic :(,negative
@taprichai ah. Ok. I was wondering :) :*,positive
@charleybilton little charles all grown up :( remember when we dyed your hair and it went rihanna red hahahaha that aint no ginge xxx,negative
Inside Out will happen today! :D,positive
"@burloutray4 I want something new too, damn you bills!! :(",negative
Witnessed ! #family #trip to #goa :( https://t.co/u13lmgymTH,negative
@NatILY02 K I'll text you tomorrow :-),positive
Omg nooo :((( https://t.co/RbkIa080Il,negative
Walk Back From The Breach .... :))) http://t.co/iZHXKoABi8,positive
@YouTubeActus Swag :D,positive
@FC96HY laper :(,negative
@nivedithg yeeeeyyy Congrats .. :-) #GOHF2015 #BarsoStay,positive
"@kevens, thank's for the follow Kevens :)",positive
@majesticnobhd I DREW ALEKS :D,positive
i miss netball :((,negative
"5G Liker :)
.
like Fast :*",positive
A year ago I married my first love and my best friend.  Thanks for an amazing year Glenn!  I love being your wife! :) http://t.co/CbiP1LHLuc,positive
@MyriadPhoto Thanks for the retweet :),positive
@adnanCad Planted people are allowed to do any thing and every thing :p,positive
@1031Genfmsby Visit my blog http://t.co/UzOAqroWKx thanks :D,positive
Mumma! Im on 7% :( @LMCDark_Angel,negative
How far would you go just to win? Camara knows. :-( THE BRIDE WORE COVERALLS http://t.co/EC1zF7A9sy #romance #inspy,negative
@ellenRstewart where are you off to next? :),positive
@reporterroya Read some reviews and it sounds awesome. Thanks for the suggestion :),positive
@exhaustcd BUT... I HAVENT FINISHED YET :(,negative
@normabattle thx for the feedback. Glad you gained value from it. :),positive
Vidcon :(((((((((,negative
I still fully intend to write as many game designs as possible while there. And an attack plan for the next 6 months. &gt;:D,positive
@bdunkelman doin ok? :(,negative
"@ForkH Hi, may you like play my newest gamejam game, i would be very happy about it :) http://t.co/8J5voDDHcs",positive
"Same :)
https://t.co/JA8FUggJwT",positive
"@LANISeanDon my brothers do that, I gets pissed off :(",negative
can't announce cool show today so wait until monday thanks :(,negative
@nicababess it didn't work :( http://t.co/aQzxRk7nk2,negative
its not the same. :(((((,negative
Ahhhhh last 2 stages to go :(((,negative
im so tempted to stream to screenshot sjkaos :(((( no,negative
Im dying of laughter bc my dad keep playing pou changing voice :(,negative
I rlyyyy wanna get my septum pierced but my mum won't let me :(,negative
@victoriaskyful @EXO_FANBASE he is being so damn cute :),positive
"@Austin_Love_AM FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",negative
"I miss Matt and he's coming home 14 days before I do, so I don't know if he's going to be there when I get back :((",negative
i want pretzels now :( #bb17 #bblf,negative
Happiness is ... Seeing a photo of rescue mutt on twitter :) @Vivienneclore,positive
Irene unnie bite her fingers and worriedly stared at staff :( ~it's okay unnie,negative
@SasaRichardson @Stefbystef_ @Frgt10_Anthem sombrero high?? OKAY I'M LOST NOW :)) http://t.co/2VDPgb5EpK,positive
@annayeng sorna :((((,negative
@HelloJP How did you get it?? I've been trying for ages and no joy! :(,negative
"Morning Everyone,

We're open from 12pm every day until Sunday now :) 

Hello Weekend, come say 'how do you do?' x http://t.co/PTZfvCIUa9",positive
@donhutch4 what's the score don I'm stuck at work :(,negative
You make my day by just smiling :),positive
"@itsAllieFx If you need someone to talk to, I am always here :) Keep your head up.",positive
@xcorben_ Bechos. :(,negative
To com insonia :(,negative
@Ricky27_263 the remedies the media won't tell you about :-),positive
@MHSScho not much chance of game tonight :( #t20blast,negative
Yeeeeah ! :D …,positive
The Flash... All day long :),positive
And no i didnt get to finish chopped :(,negative
@Brooklyyyyyyyn :( okay this is the worst,negative
@stylesandjord and a month since i saw them :(,negative
@davedhjones @IMcMillan Love it! :-),positive
@LoLEsportspedia thanks :D,positive
@EmilyBett Happy Happy Birthday Emily! :D,positive
Thank you @platform4prose :),positive
@laineyni @s_geary1 @susie22784334 @sharont2501 @britvix @vanessaclark11 @Wils21568249 @wolfenskjerven Same to you and everyone else.:-) xx,positive
want chicken nuggets again :(,negative
"I also catch heck from a lot of gun haters who try to associate my guns to my, um, endowments....
I have very rude responses
:)

@HDiddyNZ",positive
Lepas dah sembuh ni sibuk balik so its okay la kins. You wont be thinking anything else except ur studies :),positive
@msarosh Uff Itna Miss karhy thy ap :p,positive
school starts pretty soon :(,negative
@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positive
@wilywagtail It still happens a lot - unfortunately there are still reports that people are falling for the scam :(,negative
Offered promethazine or zopiclone for sleep in addition to quetiapine modified release…typically I've just paid out for a prescription :(,negative
i'm in amsterdam guys wooo :D,positive
SNAPCHAT : TammiRossM #snapchat #kikgirl #kikchat #wet #wife #indiemusic #sexy :( http://t.co/uxbrq1woRB,negative
@HannesHolste thank you for making my tweet a favourite :-),positive
@taarang lol we did it at 2am last night. My face though? People think I'm perpetually pissed off or sad b/c of my resting bitchface. :(,negative
@6000 yes - in a friendly contest - loser buys the drinks :),positive
"@_Rossaholic thank you, Donna! 😊 it was uneventful but fine. :)",positive
It's nice seeing people changing what they need to fix. Because they care. :),positive
Woke up with another migraine. :( ... Need proper rest but at moment I can't.,negative
Because your friend does not respect your life :-( I'm sorry  https://t.co/ApJ18ZWK0x,negative
@phoenixtail26 is it a macbook? https://t.co/liUXCEF1gs :p,positive
@TommoLouisSmile done too :),positive
@leesasana @Francesca092391 tried tweeting UNICEF's accounts but no answer from them :(,negative
"The truth is, if I could be with anyone, I would still choose you. &gt;:(",negative
"Thanks @UKRunFree @MMNNActionUK the work you do for the beagles is amazing, you are incredible! :)",positive
@Anthonyilott21 Wrong Turn 6 it was amazing movie bro :)),positive
KEEP CALM AND STAY KEPO :) :D,positive
@miccoelaine @KRMN4L nice dave :D,positive
@heartissoJEDlag i have kwento :( fbc,negative
@KirkHerbstreit Braxton should have gone pro! :(  I feel bad for him.  Urban is unprecedented in brainwashing (see Tebow and Alex Smith),negative
i miss them already :(,negative
@lucahollic good and you ? :),positive
@LittleMix PLEASE FOLLOW ME :(,negative
@JackButton35560 the subserver is down :(,negative
@amy14_x @AstonMerrygold will do :D it's mainly my mother who wants it right now haha the others can wait they said 😂 x,positive
@RafaelAllmark I've been supporting you since the start and am ALWAYS ignored :( please let today be the day you finally follow me������,negative
"@RyanBitchTits they feel and look better where people can't see tbh
They look so tacky :((",negative
Feeling a little neglected as there has been no visit from the postie today! :-(,negative
@TomParker oh wow!! That is beautiful tom :),positive
@AnwarLodhi imran khan is innocent :(,negative
I need to clear my head :(,negative
I'm craving Oreos and milk :(((((,negative
"♛♛♛
》》》》 
I LOVE YOU SO MUCH.
I BELİEVE THAT HE WİLL FOLLOW.
PLEASE FOLLOW ME PLEASE JUSTİN @justinbieber :( x15.341
》》》》ＳＥＥ ＭＥ
♛♛♛",negative
#FF to @TashaFairybro @dorkfaceblog @BeckyBedbug @SaidByAlisha @_OliviaJadexo @UnderToWonder @fineanddandy &lt;3 these ladies! :),positive
"I'm playing Brain Dots : ) #BrainDots
http://t.co/5Z4aDMu7tx http://t.co/qhhOGhM97S",positive
Found some goodwill gold today :-).,positive
@dualityknight @bravefrontiergl lol sorry /-\ ultor is my very first hitter so...i favor him too much :)),positive
@YHMFans @TheKaranPatel #Misundersranding days chal raha hai #YHM me :(,negative
I wish :( :( please get signed xxx https://t.co/M8X6ojdWtr,negative
"As RBI in making of caged parrot. 
1ly election commission, CAG r left, once d power is striped gujarat model will complete 
Very sad :(",negative
@THEINFORMINE Hello :) and #FFBack !,positive
I had a scary dream &amp; now I can't go back to sleep :-((((,negative
Miss living in halls :(:(,negative
@roguetatt :( i love you,negative
"@biobio1993 ohh. :( well, you know where to find me if you change your mind. (but maybe it's not even someone I'm close with so... xD)",negative
"To cleanse the scam ridden body Vyapam going to be renamed.
What an idea!!! :D:D",positive
Shanzay salabraty :(((,negative
oh my gahd get well soon Amber :( @llama_ajol,negative
My vault is expanding :D @Bethblog http://t.co/jQyErRt4g5,positive
Rly sad that I had to rush off when that was the last time I would see everyone :-(,negative
"@GalagansIsland @Gamerboss Pretty amazing!  What the hell was I doing @ 13, oh yeah playing video games. :)",positive
@UKBusinessLunch Hi we will be joining you again today :),positive
@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,negative
"More sick Mumma, sick Bubba cuddles :(  Cuddling on the floor to the footy and she falls asleep.… https://t.co/to6pXX7iuU",negative
@VoxHiberionacum It most certainly is a theme issue - but we've tested on a range of devices w/ different browsers and OS :-(,negative
@write2kill Ha ha :-) I guess I was being polite.,positive
That one person. Is still very important to me...and I don't want her gone any longer...yet I just sit here scared out of my mind. :(...,negative
"@Glanny_ @soL_Lyah @_wattie I told him to suicide and kill both of you, but you ran away forever :(",negative
"@Jime_JB21 FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",negative
@lydiamoo My sister's wedding is tomorrow but then we're going to Hong Kong &amp; I don't leave until the 31st. Then another horrific flight :(,negative
So Sad :( https://t.co/GEx8wFhJhy,negative
I love u. :p https://t.co/0zr3VlB5kL,positive
@selenagomez Follow me :(,negative
Oh lovely lovelayyy! Thanks! It is ok about the kidney.. I don't want it anyway. :p https://t.co/ZbO0cjqhzG,positive
On my life I remember one time a few years ago I changed my avi and lost 72 followers LOOOOOOL :(,negative
@FontanillaTrish @GwnLndch Today? I don't have :(,negative
@Jakers787 depends on when I have a vet visit for sick cat :( I'll let you know?,negative
@EdeLabayog yup thank you! Huhu mahirap? :(,negative
@dv891798 Learning a new skill takes time to perfect &amp; master. https://t.co/u9YXV5HPjO - Thanks for the favourite :),positive
i hate waking up in the middle of my sleep :(,negative
wanna skate but it's raining :(,negative
@Shannon_Rawrx I wish I was there with you. It would beat being home with a numb mouth after a dentist visit! :(,negative
"i thought it was true, you have to stop playing with my feelings guys :(((
#ZaynIsComingBackOnJuly26",negative
@Myninaaa @_kyle__86 thank you :) 💕,positive
I miss Chris ' voice :(,negative
@limonyeozaman ishal mi :(,negative
@tangerinebean Has A got out of bed yet? :-),positive
@memorablezayn fback? :),positive
@Objective_Neo @UMAD congrats on the launch :D,positive
My phone isn't charging it's been at 1% forever :))),positive
"@zakky12345 @kajen_bhavya Imagine News aayegi K is doing 3 Timming wiw Bips, Zareen &amp; Daisy.. B'coz 2 timming normal karte hai.. :p",positive
@CallmeLexine Same Mommy :(,negative
Sketchbook art by love4wilde Drawing of hair I did turned out pretty cool :D #art #hair #colors #colorpencils #cray… http://t.co/tn1yicz40N,positive
@ogyungmaya okay but who gets to see him in the morning?? That's  right i do :-)),positive
@TheLadyShelly haha I feel so naked without ole beardy tho :(,negative
I got in my feels and Ariel body slapped me literally body slammed me :(,negative
@daniameows i hope one day he'll fall in love with a strong woman to let him see all the things that he refuses to see now. :),positive
Sorry :( https://t.co/Q5TAYjrQ8K,negative
"@nemuuunem they can't open the door so hard, I didn't notice that I already started a song on love live and I failed :-((",negative
"@vickybeeching congratulations, really looking forward to the book and some good Sunday morning viewing. That's an awesome teapot BTW :-) x",positive
@iamsrk please dont postpone it any longer! :( :(,negative
@DSLewisUK you know :(,negative
@theroiceorven  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positive
@imynnx done yun :),positive
@ZaynReport @MakeYouKnowLove what's mean? I don't understand nothing :(,negative
We thought today was pizza day. Sadly none of the managers are in that usually buy it :(,negative
JAMES wore this in my meet and greet :((( http://t.co/MS60gaiIce,negative
I need to see my boys again :(,negative
Congrats to all of us ! :D https://t.co/qZm1Hbxtha,positive
@jackgilinsky Hiii Jack :) ily ✨✨✨,positive
"""@divarh15: @GraceGithakwa Seems like you go out alot"" something like that..:)",positive
SAY NO To EXAM!!!!!! exam na sa lunes at martes :(,negative
"#TY ""@dean0133: Appreciate your recent Retweets @SaracenConsult @joeodiete1 @Gelatiscoop have a great Friday :)""",positive
Am I the one whos dont see sinse to trend something like thats? :( #ZaynIsComingBackOnJuly26,negative
There are startup community in the tropics too! Geeks on the beach :) #startupPH https://t.co/Bg4SxKN3tg,positive
"@joinerslive did you by any chance find a black guinness wallet in the venue last night after the show? Lost my wallet :( :( :(
Thank you!",negative
"@mbukmagazine Pet Mouse has to be the winner, thanks :)",positive
@dunkindonutsnjh thank you lovely :D,positive
@joyce_gleek Sorry poooo. :(,negative
"@creativegossip yes I think it will b stupid to discuss abt wild card entries as of now
Now jst waiting for Vivian's performance :)",positive
@valentinalmao @mgchalsey ahh im sorry i didnt reply back :( i miss you too!! also i wouldve tweeted u on that acc but ive been having,negative
THEY DIDNT EXPECT THAT OMG THEIR FACES :((((( IM SO PROUD OF YOU INFINITE,negative
"laomma design; Kebaya &amp; Wedding Dress. Bandung - Indonesia
LINE: laomma, 
7DF89150
WHATSAPP : (+62) 089624641747
Instagram : Laomma_Couture",negative
@nicefurby my dad said no sorry :(,negative
my throat is so so sore :((,negative
@Bruneluni ive emailed you regarding course query! :),positive
"@JLo Happy Birthday Jlo  :D Forever JLovers &lt;3 I love you :)) Come to Turkey, Please :)",positive
@stylesrose94 thanks :),positive
finding old pictures with my long hair makes me so sad :(,negative
@Blossom__Joy I can save only 21pics but master nim say that there're 22pics. So I asked you how many pics can you see? :)),positive
@EdwinaAlexander Good luck in London this weekend! Have a super results! Great support from Donetsk :)) ;)) ;))),positive
"@sarcxstic Awh, Good luck upgrading! :)",positive
"@marjswifter but but out of all the days, same day pa :( your company is mean 💔 jk",negative
what happen to the kaussies? :(,negative
@Ktens Usually just a high stool with three kids waiting for me to topple over. :D @Rekhakakkar @vindee,positive
And here's @mayankw14's ★★★★ review: http://t.co/wNVIPDDRe6 Phew! We're literally overwhelmed. :),positive
Thq a lot for Ur continous support @actor_jayamravi to Thalaivar @dhanushkraja bro:):):),positive
@thefreejinn @Blush_Channel deleicious food followed by sound 8 hrs. sleep for which i never get time :(,negative
@moontwink one of the best couples :(,negative
"@SazzylSquires Thank you very much lovely, I'm really pleased you did :)",positive
@JaneFrankland you bet! Planning a secret baby shower for Chloe! I can say it here because she barely knows what a computer is :D!,positive
OMG :D #TweetOfTheDecade :Pa https://t.co/jBoixkQj2h,positive
@nicky_nick1998 rude :(,negative
"@baejuhyunx_  Batman can't fly, I can't help :(((( I HABE FAILED YOU ATE",negative
"@claredolotina I love dogs moar naman haha I had one cat and she didn't love me as much huhu but she was cute :3

Tara barkin blends tho :D",positive
Good luck to all our couples getting married this weekend :),positive
"@miabellasesso Have fun, gal :)  I'm going to try to go to sleep, lol.  4:15 here!!",positive
@zaynmalik follow me :((,negative
